u_id,parent_compositeterm,parent_public_id,child_compositeterm,child_public_id
"5530","séri",2966,"skate",1367
"5530","séri",2966,"bmx",1366
"5530","séri",2966,"fleur",1365
"5530","séri",2966,"biarritz",1364
"5530","séri",2966,"car",1363
"5530","séri",2966,"chien",1346
"5530","séri",2966,"chat",1345
"5530","séri",2966,"footbal",1343
"5530","séri",2966,"bateaux",1342
"5530","séri",2966,"toi",1338
"5530","séri",2966,"zoo",1237
"5632","japan april",3124,"asakusa",1450
"5632","japan april",3124,"ueno",1402
"5712","münchen",2669,"isar",798
"5767","travel",2947,"cincinnati",1749
"5975","jack",3655,"jack week",1535
"6166","flickr",1982,"bueno air",1635
"625","live",2242,"butterfli",75
"6282","germani",1963,"frankfurt zoo",1586
"6453","event",1951,"hen do",1347
"6453","portrait session",1950,"jen",1348
"6648","technic",2253,"blur",1653
"7100","fashion on",2591,"chevi",1851
"915","wonderland",2594,"music",1603
"954","challeng",3213,"march",1794
"1317","couleur",5538,"roug red",12
"1589","seattl",4377,"bellevu",130
"1589","work",4376,"nasa",941
"2821","peep",4613,"famili",42
"3995","theme",3942,"flora",108
"3995","theme",3942,"fauna",82
"3995","travel",3943,"sweden",109
"4167","japan",4089,"okinawa",1245
"456","locat",3862,"chichen itza",1555
"4643","art",5277,"insect",1221
"4643","uk",5278,"insect",1221
"4732","creativ",4577,"polymer clai",1476
"4732","creativ",4577,"fabric",1308
"4732","misc",4551,"fd flickr toi",1491
"4740","rat citi season",5476,"best shot",1870
"4779","techniqu",5535,"digit composit",1227
"4836","cherri blossom festiv",4467,"cherri blossom",1145
"5105","thing",4096,"urban",402
"5451","event",4775,"fashion show",1777
"5451","event",4775,"most interest shot",875
"5451","motorsport",4816,"most interest shot",875
"5451","other stuff",4813,"most interest shot",875
"5451","out_about",4814,"most interest shot",875
"5461","border terrier",3834,"april",1764
"5512","home",5374,"food",1391
"6119","out n about",4298,"grace",502
"6177","someth special",5606,"reflect",1215
"6177","someth special",5606,"window",1214
"6251","stuttgart",4352,"schloss solitud",435
"6321","anim photo",3841,"frog",832
"6346","qatar",5539,"qatar peopl",387
"6451","best pic",5561,"manzara",333
"6451","hdr",5584,"manzara",333
"6451","macro",5560,"manzara",333
"6586","schmetterling",4953,"mein schönsten schmetterling",261
"6915","vehicl",4175,"boat",1742
"7112","gener",5217,"spring",6
"7112","gener",5179,"spring",6
"1128","place",6037,"cornwal mai",1862
"1173","natur",7320,"field",1427
"1173","natur",7320,"fern",1390
"237","africa",6545,"libya",1658
"237","asia",6608,"indonesia",1758
"237","caribbean",6456,"jamaica",1787
"237","caribbean",6456,"barbado",1786
"237","caribbean",6456,"cuba",1771
"237","delhi",6540,"new delhi",1738
"237","journei",6611,"australasia",1671
"237","journei",6611,"central america",1644
"237","libya",6546,"tripoli",1657
"237","libya",6546,"lepti magna",1638
"237","libya",6546,"sabratha",1633
"237","nepal",6601,"kathmandu",1713
"237","south africa",6293,"hermanu",1770
"237","south africa",6293,"oudtshoorn",1766
"237","south africa",6293,"drakensberg",1765
"237","south africa",6293,"soweto",1761
"237","south africa",6293,"knysna",1753
"237","south africa",6293,"johannesburg",1750
"237","south africa",6293,"st lucia",1746
"3297","natur",5854,"bird",984
"3431","photo",6870,"mother dai",1743
"4212","roam",5950,"california",888
"4689","wildlif",6371,"bird",1209
"5444","wanderlust",6251,"washington",878
"562","find",7058,"group",1858
"594","flower",6347,"tulip",1420
"6177","anim",5633,"pet",300
